# excel calculated
0.5605315764	244.0064742937
0.9057827208	246.9816268664
1.0335646315	247.7733907528
1.2106406149	258.4098462436
1.3519201442	261.6012102748
1.7033598872	264.8595038227
1.9267410387	272.9680391327
2.2143381495	273.4412877283
2.4992403169	278.1079149544
2.760834753	282.3480408851
3.0195373275	275.2405128968
3.139420516	300.3942309788
3.2519839346	320.8857740558
3.523935249	317.4747360385
3.5985503466	308.3827850746
3.8999286857	300.5648507394
4.0985376089	293.1374427171
4.3250682263	299.9846849566
4.4535691243	295.2844601116
4.610738054	282.5279456367
4.807040033	275.2804817455
5.4530436242	246.551507099
5.7931815762	229.0565274958
6.089459813	218.393929373
6.3261258318	206.5700267439
6.7804857716	178.8297574777
7.3209952562	140.7209258862
7.618605527	117.9406373393
7.9793461443	90.9267746153
8.2697509007	58.9424728737
8.3381527462	57.2543190637
8.4338497828	41.3349048799
8.4678449514	25.79579022
