x,y,z[    0.     0. -1000.] r 1000.0 phi 0.0 vz0.0 vz_disp 61.1 rho_clumps [/cm^3] 27979.0 mens_clump [SM]1000000.0
x,y,z[0. 0. 0.] r 0.0 phi 0.0 vz0.0 vz_disp 152.2 rho_clumps [/cm^3] 30000.0 mens_clump [SM]88820835.0
x,y,z[   0.    0. 1000.] r 1000.0 phi 0.0 vz0.0 vz_disp 61.1 rho_clumps [/cm^3] 27979.0 mens_clump [SM]1000000.0
x,y,z[   0.    0. 2000.] r 2000.0 phi 0.0 vz0.0 vz_disp 27.5 rho_clumps [/cm^3] 25917.8 mens_clump [SM]1324085.9
x,y,z[   0.    0. 3000.] r 3000.0 phi 0.0 vz0.0 vz_disp 18.5 rho_clumps [/cm^3] 23590.9 mens_clump [SM]2733652.6
x,y,z[   0.    0. 4000.] r 4000.0 phi 0.0 vz0.0 vz_disp 14.6 rho_clumps [/cm^3] 21528.5 mens_clump [SM]4010680.6
x,y,z[   0.    0. 5000.] r 5000.0 phi 0.0 vz0.0 vz_disp 11.8 rho_clumps [/cm^3] 19656.2 mens_clump [SM]4381173.8
x,y,z[ 1000.     0. -5000.] r 5099.0 phi 11.3 vz45.4 vz_disp 11.3 rho_clumps [/cm^3] 19476.2 mens_clump [SM]4358293.7
x,y,z[ 1000.     0. -4000.] r 4123.1 phi 14.0 vz57.6 vz_disp 14.0 rho_clumps [/cm^3] 21376.5 mens_clump [SM]4132053.4
x,y,z[ 1000.     0. -3000.] r 3162.3 phi 18.4 vz70.1 vz_disp 16.6 rho_clumps [/cm^3] 23476.4 mens_clump [SM]2994477.4
x,y,z[ 1000.     0. -2000.] r 2236.1 phi 26.6 vz97.9 vz_disp 21.6 rho_clumps [/cm^3] 25447.1 mens_clump [SM]1575652.2
x,y,z[ 1000.     0. -1000.] r 1414.2 phi 45.0 vz158.8 vz_disp 27.5 rho_clumps [/cm^3] 27194.5 mens_clump [SM]1019398.9
x,y,z[1000.    0.    0.] r 1000.0 phi 90.0 vz239.0 vz_disp 17.2 rho_clumps [/cm^3] 27979.0 mens_clump [SM]1000000.0
x,y,z[1000.    0. 1000.] r 1414.2 phi 45.0 vz158.8 vz_disp 27.5 rho_clumps [/cm^3] 27194.5 mens_clump [SM]1019398.9
x,y,z[1000.    0. 2000.] r 2236.1 phi 26.6 vz97.9 vz_disp 21.6 rho_clumps [/cm^3] 25447.1 mens_clump [SM]1575652.2
x,y,z[1000.    0. 3000.] r 3162.3 phi 18.4 vz70.1 vz_disp 16.6 rho_clumps [/cm^3] 23476.4 mens_clump [SM]2994477.4
x,y,z[1000.    0. 4000.] r 4123.1 phi 14.0 vz57.6 vz_disp 14.0 rho_clumps [/cm^3] 21376.5 mens_clump [SM]4132053.4
x,y,z[1000.    0. 5000.] r 5099.0 phi 11.3 vz45.4 vz_disp 11.3 rho_clumps [/cm^3] 19476.2 mens_clump [SM]4358293.7
x,y,z[ 2000.     0. -5000.] r 5385.2 phi 21.8 vz84.6 vz_disp 9.5 rho_clumps [/cm^3] 18956.2 mens_clump [SM]4225160.6
x,y,z[ 2000.     0. -4000.] r 4472.1 phi 26.6 vz110.4 vz_disp 12.4 rho_clumps [/cm^3] 20945.5 mens_clump [SM]4345394.5
x,y,z[ 2000.     0. -3000.] r 3605.6 phi 33.7 vz124.0 vz_disp 13.0 rho_clumps [/cm^3] 22658.1 mens_clump [SM]3588447.2
x,y,z[ 2000.     0. -2000.] r 2828.4 phi 45.0 vz155.9 vz_disp 13.7 rho_clumps [/cm^3] 23838.1 mens_clump [SM]2463983.9
x,y,z[ 2000.     0. -1000.] r 2236.1 phi 63.4 vz195.9 vz_disp 11.3 rho_clumps [/cm^3] 25447.1 mens_clump [SM]1575652.2
x,y,z[2000.    0.    0.] r 2000.0 phi 90.0 vz218.5 vz_disp 3.7 rho_clumps [/cm^3] 25917.8 mens_clump [SM]1324085.9
x,y,z[2000.    0. 1000.] r 2236.1 phi 63.4 vz195.9 vz_disp 11.3 rho_clumps [/cm^3] 25447.1 mens_clump [SM]1575652.2
x,y,z[2000.    0. 2000.] r 2828.4 phi 45.0 vz155.9 vz_disp 13.7 rho_clumps [/cm^3] 23838.1 mens_clump [SM]2463983.9
x,y,z[2000.    0. 3000.] r 3605.6 phi 33.7 vz124.0 vz_disp 13.0 rho_clumps [/cm^3] 22658.1 mens_clump [SM]3588447.2
x,y,z[2000.    0. 4000.] r 4472.1 phi 26.6 vz110.4 vz_disp 12.4 rho_clumps [/cm^3] 20945.5 mens_clump [SM]4345394.5
x,y,z[2000.    0. 5000.] r 5385.2 phi 21.8 vz84.6 vz_disp 9.5 rho_clumps [/cm^3] 18956.2 mens_clump [SM]4225160.6
x,y,z[ 3000.     0. -5000.] r 5831.0 phi 31.0 vz118.8 vz_disp 8.6 rho_clumps [/cm^3] 18070.2 mens_clump [SM]3858349.9
x,y,z[ 3000.     0. -4000.] r 5000.0 phi 36.9 vz140.6 vz_disp 10.1 rho_clumps [/cm^3] 19656.2 mens_clump [SM]4393279.0
