# HI surface density in Fig. A1 for Bacchini, A&A 632, A127 (2019) 
#  1) R [kpc] 
#  2) Sigma [Msun/pc2] 
#  3) lower error on Sigma 
#  4) upper error on Sigma
1.000000000000000000e+00 8.668739071028588317e-01 -2.897381113908601424e-01 2.501121345392971485e-01
2.000000000000000000e+00 8.156982993452455144e-01 -2.157688338542353979e-01 2.341798036965364593e-01
3.000000000000000000e+00 4.540021873409516573e+00 8.985243017265016618e-01 9.323351188015953639e-01
4.000000000000000000e+00 5.595934190087634263e+00 1.326452715955950268e+00 1.197534619239661424e+00
5.000000000000000000e+00 5.336105359882575172e+00 1.456259633428271361e+00 4.406993413653301772e-01
6.000000000000000000e+00 7.118090911354299166e+00 2.355469995251301185e+00 1.157043877447583746e+00
7.000000000000000000e+00 6.381511439714927292e+00 1.944133030511755678e+00 8.828353190901294667e-01
8.000000000000000000e+00 5.305900758495308622e+00 1.050700186811643455e+00 1.812491060578476976e+00
9.000000000000000000e+00 6.537675977359414858e+00 1.961302793207824413e+00 1.324089326715266246e+00
1.000000000000000000e+01 6.480979545243160445e+00 1.944293863572948089e+00 1.252601141493236980e+00
1.100000000000000000e+01 6.620152948703296403e+00 1.986045884610988743e+00 9.113776651292694320e-01
1.200000000000000000e+01 6.472098448348683419e+00 1.941629534504604848e+00 9.022082344039779045e-01
1.300000000000000000e+01 5.702931489392470965e+00 1.710879446817741290e+00 9.900724890487004881e-01
1.400000000000000000e+01 4.794366065587728265e+00 1.438309819676318435e+00 1.080989680080834070e+00
1.500000000000000000e+01 4.160178126625114992e+00 1.248053437987534542e+00 1.323514034004869000e+00
