# H2 surface density in Fig. A1 for Bacchini, A&A 632, A127 (2019) 
#  1) R [kpc] 
#  2) Sigma [Msun/pc2] 
#  3) lower error on Sigma 
#  4) upper error on Sigma
1.000000000000000000e+00 2.971245264650527851e+00 1.740036266490871952e+00 9.972877439311313985e-01
2.000000000000000000e+00 1.512840554415231908e+00 4.834813123200225604e-01 4.282506822644176481e-01
3.000000000000000000e+00 5.970278356724416646e+00 1.439999490579150887e+00 1.390137892556177590e+00
4.000000000000000000e+00 6.397149904626980188e+00 1.855696372112317860e+00 1.672457379920722076e+00
5.000000000000000000e+00 3.251043801643280773e+00 1.115224722128083990e+00 1.008923803581922130e+00
6.000000000000000000e+00 3.599970667030870430e+00 1.638148204453676371e+00 1.480860299568646177e+00
7.000000000000000000e+00 1.558912850570908226e+00 8.106530823117288342e-01 7.285612083323768084e-01
8.000000000000000000e+00 1.237538746144654755e+00 1.508397734771066645e+00 8.341317719085806770e-01
9.000000000000000000e+00 9.635714181525329991e-01 2.890714254457598664e-01 2.890714254457598664e-01
1.000000000000000000e+01 6.196245507990136847e-01 4.653352233110157887e-01 4.653352233110157887e-01
1.100000000000000000e+01 5.356837951690076594e-01 5.455895043707883474e-01 5.455895043707883474e-01
1.200000000000000000e+01 2.947566901248138693e-01 3.056901896623949733e-01 3.056901896623949733e-01
1.300000000000000000e+01 1.380205971182394964e-01 1.586261733289487386e-01 1.586261733289487386e-01
1.400000000000000000e+01 2.154825019708426317e-11 3.259303015653145063e-11 3.259303015653145063e-11
1.500000000000000000e+01 2.437864124726004170e-11 3.943468685672101945e-11 3.943468685672101945e-11
