 r n_hi
0 -0.01 0.020746593023255815
1 0.0972 0.020746593023255815
2 1.1912 0.020746593023255815
3 2.9903 0.020746593023255815
4 3.2334 0.02252113953488372
5 3.5008 0.02478418023255814
6 3.987 0.02880852906976744
7 4.4976 0.02880852906976744
8 8.5089 0.029205296511627905
9 8.9708 0.03127264534883721
10 9.5057 0.03348633139534884
11 9.9919 0.03488906976744186
12 10.9887 0.03945978488372093
13 11.9854 0.043424906976744185
14 12.9822 0.04778845930232558
15 14.0032 0.037358749999999996
16 15.0 0.02880852906976744
17 15.9968 0.02252113953488372
18 16.9935 0.017605959302325582
19 17.9903 0.013763500000000001
20 18.5008 0.011840837209302327
