n M chi ELECTR H H2 HE+ HE H+ H2+ H3+ C CH C+ CH+ CH2+ CH2 CH3+ CH3 CH4+ CH4 CH5+ CN CN+ HCN HCN+ CO CO+ HCO+ HCO CO2 CO2+ H2CO H2CO+ 13C 13CH 13CO 13C+ 13CH+ 13CH2+ 13CO+ H13CO+ N N2 N2+ N2H+ NO NO+ O O+ OH OH+ H2O H2O+ H3O+ O2 O2+ SO SO+ SO2 SO2+ HSO2+ S S+ HS HS+ H2S+ CS CS+ HCS+ 13CS 13CS+ H13CS+ SI SI+ SIH SIH+ SIH2+ SIO SIO+ SIOH+ 13CO2 13CO2+ H13CO FE FE+ MG MG+
10	-30	-10	3.918746713203099e15	3.789455762616719e18	1.234852801491576e18	2.391205944649828e14	6.259237836576148e17	2.4671977087159925e15	4.329292577370745e9	3.4419173568161674e10	2.750808914514364e12	2.178477650522936e10	9.989640293712151e14	7.11446106910811e7	2.227347746428695e8	5.526283626976887e8	3.632889008650845e8	3.838149787981808e7	975.9614473052673	67660.68142066647	12506.822067430445	9.526495859062144e8	1661.7664759292402	568488.1165105393	30592.8098914903	1.2159569363978268e11	1.0382674339864254e8	8.593704644744243e7	480442.2555603891	6241.8473384150975	0.018273997317872402	285496.31347297854	9300.14894468944	5.541245401844468e10	1.5430909096827537e8	2.5890100509774175e9	1.997904461466894e13	842230.8725033513	8.0684800753491325e6	2.0763824862104305e6	1.712200117738251e6	5.2096604231608094e14	2.6530038159338254e7	160.16846205223715	393.1639309243671	4.827547037897083e8	5.104625458097892e6	2.003233538425256e15	4.075722681504858e10	2.8359602817758685e11	1.7694756753394314e10	1.314262534692033e10	4.163260235751399e9	1.225593021448826e9	1.1697431285597095e9	1.4547616601525385e7	337851.9205220065	5.301376165420506e7	0.3066140527137202	0.0006959059020291933	0.000045392742661903886	5.0049459976641455e11	1.7482496705727203e14	2.5665907737219915e7	5.422687053668209e6	1.5787488186933086e6	6.021180442377655e7	3.1566044283814705e6	800000.738294443	405288.387822881	22325.880981075257	5499.350045221399	5.066522135087414e9	1.0639682747163969e13	305204.017389301	63811.613232987605	14642.601150235401	1.6552478803632917e7	2.384927528722532e6	778392.420486433	1.594186732241401	7.118485506179087e-6	0.8247116943749655	1.2191659933552208e9	1.0632577687213688e12	3.496108649357074e10	6.852830770770447e12
15	-30	-10	4.0868707644625065e15	3.2466674893390433e18	5.11904208464708e18	1.55279842859292e14	1.348453464553921e18	1.3345375628733412e15	7.500161033499762e9	1.1089914760023653e11	1.7542943010570824e13	3.710399736188064e11	2.1392760335233928e15	4.6596871110510176e8	1.1867985504763029e9	9.41499072815907e9	2.700958137313666e9	6.169355071003389e8	6845.815063720328	2.0705076209118715e6	164121.1638066978	4.120496274569749e10	12207.727485995056	2.6502558456821643e7	227924.9652317696	5.238695246569537e11	2.049973605573849e8	2.6167149405608195e8	2.2549344294324894e7	692437.7038339186	0.8394088791065546	7.297425614626295e6	77686.82173218414	3.554931331887834e11	2.312747584627256e9	1.3618165037891657e10	4.278397056315015e13	3.7216472311571557e6	4.7633501260579936e7	4.098559314732052e6	5.162332825108447e6	1.1219943014450938e15	2.8223383602962685e9	4471.149321904585	13899.333561629684	1.290224122677365e9	6.04492489818191e6	4.3145356106332165e15	4.107025698711944e9	4.255417808587798e11	5.644387719939281e9	2.6624928015888046e10	3.009116486206217e9	1.806086358514231e9	3.234624478935725e9	1.0312946012610689e7	7.078625938761998e6	1.1287150020739175e8	11.809734547808137	0.005986589537121544	0.0005092794933375909	2.6636743198939443e12	3.749423547702812e14	2.904655528546752e8	1.8384817096591916e7	8.840820258044666e6	3.8685198439909987e9	5.897909934444945e7	1.711044764143213e7	2.329486571367011e7	368063.7441680527	105958.85622158667	2.3094910202728165e10	2.290317878097526e13	2.9325478402561625e6	120433.78341540461	73676.61990080094	6.519100056016559e7	4.313401913986209e6	2.2742669974924354e6	14.904155616124816	0.00003227816250907837	5.712747157313525	5.050289167009488e9	2.2875845483591084e12	1.1343034192424223e11	1.472126535082221e13
20	-30	-10	6.053552747448739e15	1.9176279963700058e18	1.3563113979473736e19	1.0398740973769738e14	2.904330132283178e18	4.811437356199993e14	6.572627244395324e9	1.3815077973012256e11	1.4127476309459172e14	3.227871963913864e12	4.4980023110247685e15	2.26874517314712e9	4.0221226450242085e9	8.804344798018773e10	1.0996938362649881e10	5.626603602418711e9	23649.607828979133	3.2904628233988717e7	1.080708234085781e6	7.652594473784647e11	64321.71260981737	6.767662258162453e8	1.0243461611683927e6	3.6108376479672886e12	1.0085291420249382e8	2.0357362311539388e8	4.221684361367975e8	2.2726208827850744e7	11.069354713000301	8.393085379938674e7	361106.6065623325	2.897806943804422e12	1.8844544264316246e10	1.9764025119681284e11	8.982679958463705e13	1.4611466964929098e7	1.6272170222546944e8	2.0092713289998057e6	3.716615461965062e6	2.415444463517061e15	1.3884939911513858e11	75496.27864406511	226270.6497595139	1.0745356746361928e9	2.443126846202165e6	9.290206314554786e15	2.5796955175308996e8	1.507329072090895e11	5.268930832829424e8	1.3788086268340128e10	4.3642052857091475e8	4.3131033768160486e8	3.086450015454756e9	2.0553393796767488e6	8.992700331061967e7	5.759848658768449e7	261.258878301118	0.030127535776704375	0.002830530753063661	1.847172615397311e13	7.9466796976861e14	2.0335585219328952e9	3.871472972378186e7	2.88113584734484e7	9.819737943861993e10	5.42515784501793e8	1.6004368926142618e8	5.549867872935277e8	3.175132030782154e6	936272.270621271	1.1914275295840396e11	4.9256118826875625e13	2.1611396909476116e7	174888.48073426267	214980.10114904778	9.228469873037182e7	1.8248805253534801e6	1.4383378708495088e6	132.4748374832712	0.00011308733402395393	24.389139728219074	1.998562380029792e10	4.917552144565691e12	3.6059855610836505e11	3.1588173456098668e13
25	-30	-10	1.1039839989125964e16	1.1710939877723082e18	3.0709906700459225e19	6.929252558553722e13	6.259034137617152e18	1.0821337465582069e14	4.716220652095054e9	1.0439518996332214e11	1.051204632946311e15	1.6932309696038832e13	8.875303988059576e15	7.790216956585464e9	1.0352819193749949e10	5.0248635844395264e11	2.998808550647982e10	3.2180854826346836e10	40044.267557632615	3.885823764987875e8	4.55486247417386e6	7.435201565103825e12	236807.43929439754	1.0181944070975554e10	3.2270453614531797e6	6.1641514593764125e13	5.992463108191176e7	1.825879129174128e8	3.7930792601770496e9	3.120005680598901e8	63.280067848776724	5.758829893477857e8	1.1930555978703708e6	2.114985334304932e13	9.00145463954811e10	5.714330443285333e12	1.733293597656385e14	4.374842133906199e7	3.7744726428768015e8	1.159993240329846e6	2.716677204484622e6	5.19323607007596e15	3.4458318273769067e12	612813.854010594	1.8705878376933243e6	9.067710148564824e8	1.3832134361692595e6	1.9961677592510256e16	2.871111499024093e7	7.318249138261374e10	1.2389234534554109e8	9.652464183001446e9	1.2977629077373666e8	1.4416147075815025e8	3.5987452820861225e9	446480.76460241375	7.112047835783823e8	3.3531667931049142e7	3445.3513676893976	0.09429622271227024	0.009149676030817405	1.217792829191655e14	1.6293156996361375e15	9.714693324488853e9	5.9766428446702905e7	6.898178940507467e7	1.4318066847895813e12	2.962400025230014e9	9.02975271165828e8	6.774878581988906e9	1.576065142157525e7	4.764734028741955e6	5.507294578999221e11	1.0585373747042481e14	1.3635268115095493e8	206617.72342126392	491749.7954801399	1.4561211749688154e8	989825.9196792605	872181.6046657403	958.7969794899473	0.00031786478761431665	97.83519536519167	6.540696776480282e10	1.057506744683528e13	1.0463664208431207e12	6.780375169391265e13
30	-30	-10	1.840915820376869e16	9.778523918574289e17	6.6926788977973854e19	3.679774124470681e13	1.3483114203354018e19	2.25465808247892e13	3.2146926855798864e9	7.686658210465779e10	5.436124282580741e15	5.2185940841042555e13	1.4574733516189728e16	1.740881352748752e10	1.9961906382500263e10	1.8295743457136375e12	6.459558891338183e10	1.1028973339599406e11	64989.52730913861	3.0252331032481503e9	1.5158363709526379e7	3.779535843082465e13	561871.3701677305	9.92596202875698e10	7.709151798057736e6	1.4581681388255712e15	5.272933800958034e7	2.3221407048706868e8	2.191812293256957e10	3.5622882808484435e9	180.93493809180868	2.422410968064261e9	3.291518796759508e6	9.005535375941167e13	2.2369843815291464e11	8.974707246773906e13	2.513991706664925e14	8.121335348175246e7	6.141432953361126e8	873485.7994279002	2.842854002990669e6	1.110637998537015e16	3.6854551986611664e13	2.3345129177420344e6	7.489196805562623e6	8.955953676475925e8	1.3320496453799747e6	4.159806999527036e16	1.498739841600032e7	6.382503485722604e10	8.044961133955245e7	1.0159507906580189e10	9.071846627986687e7	1.1303784550976218e8	5.463721310053769e9	198228.17811133675	5.360979017587218e9	4.0169952202539265e7	122615.66254004704	0.27567671896296025	0.04399974097216096	6.349675788485956e14	3.128397610008242e15	4.0397995138084595e10	9.445694559935391e7	1.695649293501255e8	1.1823019194380924e13	9.586527945941628e9	3.309511679279533e9	3.3371805929877567e10	4.033182330344253e7	1.286973807562392e7	2.1470860532155076e12	2.2706527006711453e14	7.430919334812573e8	307182.4806688945	1.2726985190441532e6	4.40770399056545e8	1.0528337684915606e6	1.1666786474318933e6	12445.510210575352	0.0005276349058175207	317.87538559960586	2.022874255629625e11	2.2719065717950156e13	3.0084199063688516e12	1.4530619194015444e14
35	-30	-10	2.2598621000708856e16	8.670646817003354e17	1.4477837104303199e20	1.1343625905556121e13	2.9042380102126764e19	4.945731175671916e12	2.154717295892437e9	7.568796385583765e10	1.5700011766818208e16	9.21376591746487e13	1.6023332247456442e16	2.103804037649991e10	2.4010663097430023e10	4.119343326471449e12	1.0171287024757233e11	2.1198299177374335e11	107984.38218162883	1.3186810858612942e10	3.918932178783261e7	9.956334645111705e13	714987.9868108267	5.93252323766666e11	1.3462077507728254e7	1.4495487789182896e16	5.425936097772292e7	4.4859278659532714e8	8.094764336440091e10	4.015941557603144e10	354.9711730538358	6.642061341768923e9	6.631816787907084e6	2.0385127350410072e14	2.2582652768381354e11	5.5588826399899225e14	1.693095543550209e14	5.9859473935620576e7	5.0029997920778203e8	501090.9941570961	5.14886440529826e6	2.3668597833319496e16	1.972646011987658e14	3.5167338683113973e6	1.388103348439214e7	2.0777467051613066e9	2.66359572247529e6	7.788394614300072e16	9.379635383218456e6	1.0694596782956264e11	6.497397801623933e7	3.2308312897747932e10	8.711280851986033e7	1.8140807427035072e8	1.6125942086634735e10	174745.40995078173	1.0659402015785052e11	1.592395358323276e8	3.373388341124471e7	23.768226956170896	13.578081216647563	2.534262947855854e15	5.545220693535118e15	2.0056316996459442e11	2.0852150584431827e8	5.658628510609651e8	5.196946071097453e13	1.8091226324112427e10	8.226791669524951e9	8.152817818507596e10	4.234859397277414e7	1.6401062584715143e7	7.75948543280788e12	4.859469942584671e14	3.5254871951833606e9	901359.3968051057	4.944112314141548e6	1.0581767203317379e10	2.758686367687047e6	8.038972793922333e6	566022.1705397369	0.0025361168659372877	2820.949160427205	8.456116530679011e11	4.852644745845162e13	9.723275439080678e12	3.0974294328876756e14
40	-30	-10	1.961810053526545e16	4.2222412151353574e17	3.1286433054274296e20	2.4577418337626436e12	6.261509500855336e19	1.5679482203700713e12	1.4569437405120246e9	1.0423472246589862e11	2.366674368847548e16	7.150689925441098e13	8.98619733231245e15	8.085832993064155e9	1.1331277067032043e10	5.41565322736012e12	7.953106537805566e10	1.785162601909625e11	82975.5463729357	3.422116817359112e10	5.882287164478439e7	1.0733467615886458e14	355818.673314472	2.7949179577630376e12	1.4767095673799837e7	6.721889827298855e16	5.1205280421165556e7	1.1897654970043418e9	2.0170842243221973e11	4.418244325509436e11	1405.9579757521897	1.177160345653497e10	6.851892311558286e6	2.2417128384136147e14	4.7828892287992905e10	1.7561793036789042e15	2.3208302656132234e13	7.111830182274926e6	8.869239834408705e7	152694.7407951834	1.6368142835567702e7	5.077061597197391e16	6.075171716884139e14	1.8028316017339777e6	1.3166547040690837e7	1.9737547871486355e10	9.939781306812087e6	1.31389625619592e17	5.140517792773743e6	3.17165186265027e11	6.128528787451594e7	2.47454910164383e11	1.0392465970884834e8	5.018318497965025e8	1.493947832747317e11	347946.6240352013	1.4042578998862996e12	7.727401740340556e8	2.8385266474754148e9	872.100644922882	1083.625217328121	8.600524205970685e15	8.805522088229095e15	7.334341562153954e11	5.694437229838406e8	1.9164026459998376e9	1.2393452380484925e14	1.5408723747370136e10	1.1315253619911047e10	7.779407257477986e10	9.704559998914622e6	6.054199829366337e6	2.7810384700959633e13	1.036211737158771e15	1.382212311262414e10	3.702471549260872e6	2.400755472970454e7	4.2053082782684296e11	1.0995990982009767e7	8.540714449269547e7	2.243271491427522e7	0.056110883174139724	26841.824578107204	3.535417119045497e12	1.0291024401883633e14	2.898754196745532e13	6.597784640263624e14
45	-30	-10	1.8002405656164454e16	1.4157596986244723e17	6.744322486268745e20	1.0111003669994473e12	1.349006127755625e20	8.395155367686359e11	9.92330854953044e8	1.4390543792936597e11	2.685877651024422e16	3.0470013471083633e13	3.36253433531617e15	1.192969827431088e9	2.8626707720242043e9	4.684681107753683e12	3.79244336824608e10	8.192040969402428e10	27238.869967812054	8.481991170299036e10	5.423745741840064e7	5.6679359330557164e13	184310.60542080647	1.757353441539963e13	2.0544752758141518e7	1.8531322641405014e17	4.211876674680645e7	3.3821975436394043e9	3.415005078888758e11	6.763706683889095e12	15071.300534791957	2.1451939122724968e10	4.4431363737864075e6	2.822029752420666e14	1.0634964823018808e10	4.0318736573161695e15	2.4961493799073003e12	576582.1202693888	1.3427899636024436e7	77222.80238648744	5.6866828237226255e7	1.082698295375435e17	1.9465671238814542e15	838587.2951623901	2.9052447906069163e7	1.4596842703229333e11	2.792507682708557e7	2.422936656104436e17	2.928840604860103e6	1.0666772001328308e12	6.6291096639404416e7	1.211719919841997e12	1.301149667302498e8	1.5944585143445542e9	1.3525602903809414e12	852602.5055260541	8.588226228688915e12	2.1242796257768078e9	1.0252121692986687e11	12775.772909037067	48484.31308976855	2.6698790244544828e16	1.0873969858679848e16	1.4244789906144988e12	1.437805627830861e9	4.267474377048618e9	1.8904248251957325e14	5.957719430894694e9	7.617100762055987e9	2.3514627828172803e11	2.0218628907835532e6	2.712207814524659e6	1.558153933881166e14	2.121968450872764e15	4.128872653858044e10	1.7690818676339142e7	1.1146959775909571e8	1.5484165728661625e13	3.7661927164654836e7	7.579747246073637e8	1.0833181466728063e9	2.3555062730691834	190933.04486423155	1.0305633933426895e13	2.1902539470883325e14	6.356958983785038e13	1.4203370542814038e15
50	-30	-10	1.6962875855656678e16	5.231503536359774e16	1.4523970388648054e21	5.70592524417593e11	2.9048466226392095e20	4.7367062456280945e11	6.76076531750676e8	1.8970764070272464e11	2.653319192173694e16	1.0273679782619328e13	1.013364010124637e15	1.2431804213256258e8	6.661164293029946e8	3.4005318479348647e12	1.6902897371662333e10	3.4076785613378628e10	8765.321323282778	4.7773245941895575e11	4.983431939613661e7	2.174373193874772e13	207238.51843331844	7.284143128771578e13	4.89330785613532e7	4.366993087804559e17	2.8968627319239914e7	1.261862368626261e10	4.2847239540718024e11	5.7641383503567914e13	107677.06734374892	9.215521955276012e10	2.9941911479832977e6	3.726756184509839e14	7.237860710526458e9	8.920739679537534e15	4.7979695744095575e11	157692.2616713152	5.246197536609643e6	52030.283569890016	2.4868151962016305e8	2.0667982224619488e17	1.7454178998728922e16	759852.5046574724	4.7477307033923626e8	6.140200782000947e11	4.7457018329611845e7	4.8029501905421235e17	1.9166754021149864e6	3.4668714073613896e12	7.765463433181311e7	6.844875724489539e13	1.6410387206668133e8	6.239657293293947e9	1.4337204111398516e13	2.299734566840455e6	2.0628293153898584e14	5.771637105602777e9	1.4309758914037012e15	6.40757137485429e6	7.62588873213477e8	7.030715379836927e16	9.026339190707862e15	1.4601334598358777e12	3.8184508296135116e9	6.010502269564237e9	3.622470755240168e14	1.373865441909385e9	3.075572814402481e9	1.2308136715298552e12	935683.734833992	2.545268871827135e6	1.0018054425425394e15	3.586429067925976e15	8.467939804354375e10	1.268603534457977e8	3.228381265533155e8	3.499098798054855e14	8.274645647551905e7	3.229660436365527e9	3.758172365649754e11	603.0323434172366	1.6268957027867246e7	5.4027946031142414e13	4.397957518884899e14	3.001575667883454e14	2.895172551912475e15
55	-30	-10	1.4742352362380764e16	2.308237478852693e16	3.129279548420461e21	3.3776624072130255e11	6.258583712101976e20	2.5497113790663684e11	4.6059785920727533e8	2.191540807531349e11	1.9613445631342224e16	2.8502052428336763e12	2.3941849512746122e14	1.2094045771300105e7	1.4248116953794846e8	2.1624403529721611e12	6.927632621139462e9	1.3283282540803474e10	3671.1311589811703	1.4392501846691685e12	4.2167656046184465e7	6.9460383602051045e12	220032.00542183436	1.9650511022989747e14	8.667347291485307e7	9.799562606211244e17	1.5047966631623067e7	4.817185639473479e10	4.033343756437046e11	5.993164583200568e14	465700.47266086494	2.5798189340782922e11	2.221139167545942e6	4.299868053963988e14	7.056035317563607e9	1.9580507525777284e16	1.1019974738112431e11	71419.44987074826	3.0882891615185994e6	35605.68954951657	1.0805585726862469e9	3.296687074879589e17	9.542041798370384e16	1.168445118315101e6	2.569845103823592e9	1.4513191813521287e12	4.039180590628061e7	9.305966575216586e17	1.4711478402058687e6	1.1134039861496955e13	8.291327154401995e7	6.563587664146762e14	1.8106786512067652e8	2.0042042024878418e10	7.259009521192396e14	1.327430623489028e7	1.1838711678319362e15	2.4946378936256126e10	3.2591716842699096e16	4.825453648354921e7	1.3295987949527546e10	1.3621706097959979e17	4.4881361262411465e15	8.176712541486312e11	7.354227753606302e9	4.8775261586821e9	7.542404364799352e14	2.0971313051945266e8	9.501421839700997e8	4.443336874462298e12	546082.9021419489	2.9690027378239254e6	3.3884612606638455e15	4.349473942107223e15	1.1337705126263538e11	3.981217008057247e8	5.926489156178932e8	2.9015182810850945e15	9.958275472626595e7	9.206126610649036e9	1.2411736976268828e13	7051.741849248505	2.1284267492498547e8	3.259955088134985e14	7.379624306560318e14	1.9581254498308938e15	4.926309895721972e15
