Z	n	M	chi	Tg	Td
100	50	20	20	537.7771720486335	64.58109073454999
100	50	20	30	985.3300707664154	95.15676747010829
100	50	20	40	913.4650573317709	128.21322215960046
100	50	20	50	2271.039515989395	203.80332920969855
100	50	20	60	3866.026337831545	207.79527235043966
100	50	30	0	413.6721670797502	28.416272275055896
100	50	30	10	316.9851543846605	43.14297286321449
100	50	30	20	453.5137365869577	64.57388542804325
100	50	30	30	946.2746031494786	95.49244991709375
100	50	30	40	907.7283679833221	123.5447768430496
100	50	30	50	2544.392013579697	203.44225128962773
100	50	30	60	4113.6224978335395	211.08043221534254
100	60	-30	0	185.8713989411406	28.75535083460379
100	60	-30	10	500.0588582447992	43.58125117345149
100	60	-30	20	981.2534828739078	65.27648508342187
100	60	-30	30	893.490646635734	96.96569284133304
100	60	-30	40	4325.3004815971235	144.81910194928307
100	60	-30	50	5008.156063696982	204.48053678413464
100	60	-30	60	5038.2889300278275	171.97485822752034
100	60	-20	0	179.20222216307317	28.562281365888502
100	60	-20	10	525.0830801702162	43.33791267840024
100	60	-20	20	866.5338892559929	64.90100005234414
100	60	-20	30	913.1166285763237	96.39783906947422
100	60	-20	40	4299.575032806139	143.9664156575447
100	60	-20	50	4892.065230100139	189.93851496538295
100	60	-20	60	4521.641478611425	164.0739445527762
100	60	-10	0	181.69585384469877	28.48048215345899
100	60	-10	10	518.0451661637834	43.216699955507906
100	60	-10	20	970.4321288894726	64.7159995727569
100	60	-10	30	917.6943444136076	96.11807118418876
100	60	-10	40	4296.665970458863	143.543288466762
100	60	-10	50	4936.779263914162	192.3777468648693
100	60	-10	60	4987.372397949529	176.0288857267059
100	60	0	0	180.62944575303825	28.440928120613
100	60	0	10	507.4542036441842	43.15465139428661
100	60	0	20	964.9442643451183	64.61638449084205
100	60	0	30	927.8816038907	95.96909291549375
100	60	0	40	4312.432994132603	143.32969601302216
100	60	0	50	4944.549379323129	192.6676306055372
100	60	0	60	4875.631284020415	172.81243180034164
100	60	10	0	189.79071260812754	28.417449346738366
100	60	10	10	528.340300353895	43.135486554386084
100	60	10	20	919.7794257720624	64.57599687189251
100	60	10	30	871.7829373449783	95.90554545018529
100	60	10	40	4335.770262755432	143.23917286818693
100	60	10	50	4874.856469272218	184.6859654017631
100	60	20	0	165.85686115402888	28.418534498899287
100	60	20	10	531.9682220306144	43.12204406017444
100	60	20	20	970.4898215506975	64.55192308468389
100	60	20	30	911.8790810667009	95.87074279380097
100	60	20	40	4305.130361584706	143.17535147746642
100	60	20	50	4727.753748055472	173.12245777914433
100	60	30	0	193.39388431920605	28.379321327314965
100	60	30	10	532.1779113841228	43.07066019688358
100	60	30	20	974.309998211962	64.47321782271894
100	60	30	30	934.2872637025189	95.756100944734
100	60	30	40	4272.174704294579	143.00916689626692
100	60	30	50	4407.529873627979	166.22995272703838
100	70	-30	0	122.72836951634613	28.493851313319887
100	70	-30	10	302.5946424710958	42.371551139862746
100	70	-30	20	535.4838101190387	64.65551319661218
100	70	-30	30	1099.3425119429235	96.12599978179539
100	70	-30	40	895.6460917439006	143.62611280066577
100	70	-30	50	5021.529679613206	193.39688137041526
100	70	-30	60	4560.888461451484	190.11417039965366
100	70	-20	0	118.45484828426997	28.449374231492502
100	70	-20	10	235.68369064873477	43.1656484690645
100	70	-20	20	534.7260936782798	64.57613506064912
100	70	-20	30	1064.6659231296517	95.97550232742469
100	70	-20	40	989.0834374001535	143.41618285633587
100	70	-20	50	5013.980605578212	192.7926115633089
100	70	-10	0	117.1250642077585	28.4302628966293
100	70	-10	10	1120.1786391168414	43.14299893440562
100	70	-10	20	519.1388758290587	64.55252395437526
100	70	-10	30	1100.4891429154397	95.91496833556852
100	70	-10	40	940.9585239095202	143.32450587817212
100	70	-10	50	4674.515839333306	189.77260532608958
100	70	0	0	150.12210131019532	28.409751171979618
100	70	0	10	193.27513927153498	43.12402602553584
100	70	0	20	508.71662738907827	64.54010762215738
100	70	0	30	1091.3651368775866	95.8788015280417
100	70	0	40	932.6964099050446	143.27321788808024
100	70	10	0	118.06840230927048	28.375875663960503
100	70	10	10	312.1953086804625	43.06175725489771
100	70	10	20	540.4280086912102	64.48026187506763
100	70	10	30	1150.0598653808222	95.76201644639644
100	70	10	40	924.7302707582336	143.1084708544589
100	70	20	0	150.11134095925374	28.313941515410193
100	70	20	10	209.79732976583728	43.10955668321726
100	70	20	20	517.5475611632936	64.52770905073588
100	70	20	30	1103.3292595282358	95.85664742029807
100	70	20	40	947.433465085539	143.24857945146124
100	70	30	0	120.57573814895525	28.400634745104565
100	70	30	10	169.7108306995814	43.08629143693962
100	70	30	20	517.6769293406592	64.51848980528342
100	70	30	30	1086.5571609929636	95.84360606500162
100	70	30	40	934.1358033899985	143.23609778240177
